,precision,recall,f1-score,support
0,0.992431142237995,0.9987989126999178,0.9956048456970022,31638.0
1,0.4864864864864865,0.1299638989169675,0.2051282051282051,277.0
accuracy,0.9912580291399029,0.9912580291399029,0.9912580291399029,0.9912580291399029
macro avg,0.7394588143622407,0.5643814058084426,0.6003665254126037,31915.0
weighted avg,0.9880398945600014,0.9912580291399029,0.9887440583105833,31915.0
