,precision,recall,f1-score,support
0,0.9753963385102192,0.9933250032881757,0.9842790349119463,30412.0
1,0.784957627118644,0.4930139720558882,0.6056395586432366,1503.0
accuracy,0.9697634341218863,0.9697634341218863,0.9697634341218863,0.9697634341218863
macro avg,0.8801769828144317,0.743169487672032,0.7949592967775915,31915.0
weighted avg,0.9664278477309136,0.9697634341218863,0.9664474468551745,31915.0
