,precision,recall,f1-score,support
0,0.9933812405446294,0.9970264456535493,0.9952005052099779,31612.0
1,0.49732620320855614,0.3069306930693069,0.3795918367346938,303.0
accuracy,0.990474698417672,0.990474698417672,0.990474698417672,0.990474698417672
macro avg,0.7453537218765928,0.6519785693614281,0.6873961709723359,31915.0
weighted avg,0.9886717097185967,0.990474698417672,0.9893559359933709,31915.0
