,precision,recall,f1-score,support
0,0.9515664802990703,0.9943305562277457,0.9724786151401426,28927.0
1,0.9028436018957346,0.5100401606425703,0.6518391787852866,2988.0
accuracy,0.9489895033683221,0.9489895033683221,0.9489895033683221,0.9489895033683221
macro avg,0.9272050410974024,0.752185358435158,0.8121588969627146,31915.0
weighted avg,0.9470048647368217,0.9489895033683221,0.9424591686156774,31915.0
