,precision,recall,f1-score,support
0,0.9769671839061842,0.9956092568749794,0.9862001308044472,30291.0
1,0.872848948374761,0.562192118226601,0.6838951310861423,1624.0
accuracy,0.973554754817484,0.973554754817484,0.973554754817484,0.973554754817484
macro avg,0.9249080661404726,0.7789006875507902,0.8350476309452948,31915.0
weighted avg,0.9716691104453341,0.973554754817484,0.9708172914015795,31915.0
